000001.SZ,平安银行,
时间,卖1价,买1价
Time,ask1,bid1
2019-04-29 09:41:12,14.010,14.000
2019-04-29 09:41:15,14.010,14.000
2019-04-29 09:41:18,14.010,14.000
2019-04-29 09:41:21,14.000,13.990
2019-04-29 09:41:24,14.010,13.980
2019-04-29 09:41:27,14.000,13.980
2019-04-29 09:41:30,14.000,13.990
2019-04-29 09:41:33,14.010,13.990
2019-04-29 09:41:36,13.990,13.980
2019-04-29 09:41:39,14.010,14.000
2019-04-29 09:41:42,13.990,13.980
2019-04-29 09:41:45,13.990,13.980
2019-04-29 09:41:48,14.000,13.990
2019-04-29 09:41:51,14.000,13.990
2019-04-29 09:41:54,14.000,13.980
2019-04-29 09:41:57,14.000,13.990
2019-04-29 09:42:00,13.990,13.980
2019-04-29 09:42:03,14.000,13.990
2019-04-29 09:42:06,14.000,13.990
2019-04-29 09:42:09,14.000,13.990
2019-04-29 09:42:12,13.990,13.980
2019-04-29 09:42:15,13.990,13.980
2019-04-29 09:42:18,14.000,13.980
2019-04-29 09:42:21,14.000,13.990
2019-04-29 09:42:24,13.990,13.980
2019-04-29 09:42:27,13.990,13.980
2019-04-29 09:42:30,14.000,13.980
2019-04-29 09:42:33,13.990,13.980
2019-04-29 09:42:36,13.990,13.980
2019-04-29 09:42:39,13.990,13.980
2019-04-29 09:42:42,13.990,13.980
2019-04-29 09:42:45,13.990,13.980
2019-04-29 09:42:48,13.980,13.970
2019-04-29 09:42:51,13.980,13.970
2019-04-29 09:42:54,13.980,13.970
2019-04-29 09:42:57,13.980,13.970
2019-04-29 09:43:00,13.980,13.970
2019-04-29 09:43:03,13.970,13.960
2019-04-29 09:43:06,13.970,13.960
2019-04-29 09:43:09,13.960,13.950
2019-04-29 09:43:12,13.960,13.950
2019-04-29 09:43:15,13.970,13.960
2019-04-29 09:43:18,13.970,13.960
2019-04-29 09:43:21,13.970,13.960
2019-04-29 09:43:24,13.970,13.960
2019-04-29 09:43:27,13.970,13.960
2019-04-29 09:43:30,13.970,13.960
2019-04-29 09:43:33,13.960,13.950
2019-04-29 09:43:36,13.960,13.950
2019-04-29 09:43:39,13.960,13.950
2019-04-29 09:43:42,13.970,13.960
2019-04-29 09:43:45,13.970,13.960
2019-04-29 09:43:48,13.970,13.960
2019-04-29 09:43:51,13.970,13.960
2019-04-29 09:43:54,13.970,13.960
2019-04-29 09:43:57,13.970,13.960
2019-04-29 09:44:00,13.970,13.960
2019-04-29 09:44:03,13.960,13.950
2019-04-29 09:44:06,13.960,13.950
2019-04-29 09:44:09,13.960,13.950
2019-04-29 09:44:12,13.960,13.950
2019-04-29 09:44:15,13.960,13.950
2019-04-29 09:44:18,13.960,13.950
2019-04-29 09:44:21,13.960,13.950
2019-04-29 09:44:24,13.960,13.950
2019-04-29 09:44:27,13.960,13.950
2019-04-29 09:44:30,13.960,13.950
2019-04-29 09:44:33,13.960,13.940
2019-04-29 09:44:36,13.960,13.950
2019-04-29 09:44:39,13.950,13.940
2019-04-29 09:44:42,13.950,13.940
2019-04-29 09:44:45,13.950,13.940
2019-04-29 09:44:48,13.940,13.930
2019-04-29 09:44:51,13.940,13.930
2019-04-29 09:44:54,13.940,13.930
2019-04-29 09:44:57,13.940,13.930
2019-04-29 09:45:00,13.940,13.930
2019-04-29 09:45:03,13.940,13.930
2019-04-29 09:45:06,13.940,13.930
2019-04-29 09:45:09,13.940,13.930
2019-04-29 09:45:12,13.950,13.940
2019-04-29 09:45:15,13.950,13.940
2019-04-29 09:45:18,13.940,13.930
2019-04-29 09:45:21,13.950,13.940
2019-04-29 09:45:24,13.930,13.920
2019-04-29 09:45:27,13.950,13.940
2019-04-29 09:45:30,13.950,13.940
2019-04-29 09:45:33,13.950,13.940
2019-04-29 09:45:36,13.940,13.930
2019-04-29 09:45:39,13.940,13.930
2019-04-29 09:45:42,13.940,13.930
2019-04-29 09:45:45,13.940,13.930
2019-04-29 09:45:48,13.940,13.930
2019-04-29 09:45:51,13.940,13.930
2019-04-29 09:45:54,13.950,13.930
2019-04-29 09:45:57,13.960,13.950
2019-04-29 09:46:00,13.960,13.950
2019-04-29 09:46:03,13.950,13.940
2019-04-29 09:46:06,13.970,13.960
2019-04-29 09:46:09,13.970,13.960
2019-04-29 09:46:12,13.970,13.960
2019-04-29 09:46:15,13.970,13.950
2019-04-29 09:46:18,13.970,13.950
2019-04-29 09:46:21,13.970,13.960
2019-04-29 09:46:24,13.970,13.960
2019-04-29 09:46:27,13.970,13.960
2019-04-29 09:46:30,13.970,13.960
2019-04-29 09:46:33,13.980,13.960
2019-04-29 09:46:36,13.980,13.970
2019-04-29 09:46:39,13.980,13.960
2019-04-29 09:46:42,13.970,13.960
2019-04-29 09:46:45,13.980,13.970
2019-04-29 09:46:48,13.980,13.970
2019-04-29 09:46:51,13.980,13.970
2019-04-29 09:46:54,13.980,13.970
2019-04-29 09:46:57,13.990,13.980
2019-04-29 09:47:00,13.990,13.980
2019-04-29 09:47:03,13.990,13.960
